"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Apr 30 12:23:13 GMT 2023","Sun Apr 30 12:23:14 GMT 2023","789","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerWithInvalidEmailTest","Invalid email credential registration","Using 'invalid email' credentials - new user registration is not possible when no valid email address is provided"
"passed","Sun Apr 30 12:23:11 GMT 2023","Sun Apr 30 12:23:12 GMT 2023","799","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerNewUserTest","Correct credentials registration","Using correct credentials - validating new user registration is possible"
"failed","Sun Apr 30 12:23:10 GMT 2023","Sun Apr 30 12:23:10 GMT 2023","605","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","registerWithEmptyCredentialsTest","Empty credentials registration","Using 'empty' credentials - validating new user registration is not possible when no valid data's are provided"
"failed","Sun Apr 30 12:22:52 GMT 2023","Sun Apr 30 12:23:08 GMT 2023","16030","","pages.GetInTouchPageTest","","pages.GetInTouchPageTest","sendMessage","Sending message","The test verifies the 'Get in touch' menu's send message function."
"passed","Sun Apr 30 12:23:10 GMT 2023","Sun Apr 30 12:23:11 GMT 2023","500","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","loginWindowTest","'Login' window check","Login window - validates after handling the 'Terms and conditions' window, the 'Login' window is visible by default"
"passed","Sun Apr 30 12:23:16 GMT 2023","Sun Apr 30 12:23:16 GMT 2023","514","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","clickOutsideTermsAndConditionsWindowTest","Click out of 'Terms and conditions'","Click out of 'Terms and conditions' window"
"failed","Sun Apr 30 12:23:19 GMT 2023","Sun Apr 30 12:23:20 GMT 2023","970","","pages.LandingPageTest","","pages.LandingPageTest","clickHomeButtonTest","Click Home button","The test verifies that on LandingPage the 'Home' button is visible, and clicking on it navigates to the correct page."
"passed","Sun Apr 30 12:23:15 GMT 2023","Sun Apr 30 12:23:16 GMT 2023","520","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","clickAcceptTermsAndConditionsButtonTest","Accept 'Terms and conditions'","Accept 'Terms and conditions'"
"passed","Sun Apr 30 12:23:20 GMT 2023","Sun Apr 30 12:23:20 GMT 2023","885","","pages.LandingPageTest","","pages.LandingPageTest","clickGetInTouchButtonTest","Click Get in touch button","The test verifies that on LandingPage the 'Get in touch' button is visible, and clicking on it navigates to the correct page."
"passed","Sun Apr 30 12:23:17 GMT 2023","Sun Apr 30 12:23:18 GMT 2023","812","","pages.LandingPageTest","","pages.LandingPageTest","loginTest","Login with existing user","This test checks if with existing username and password the login is possible."
"passed","Sun Apr 30 12:23:15 GMT 2023","Sun Apr 30 12:23:15 GMT 2023","429","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","navigateToUrlTest","Navigate to URL","Validates navigating to the given URL is successful."
"passed","Sun Apr 30 12:23:14 GMT 2023","Sun Apr 30 12:23:14 GMT 2023","774","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","builtInCredentialLoginTest","'Built-in' credentials login","Built-in credentials login - validating user login is possible with built-in login credentials"
"passed","Sun Apr 30 12:23:11 GMT 2023","Sun Apr 30 12:23:11 GMT 2023","408","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","navigateToUrlTest","Navigate to URL","Validates navigating to the given URL is successful."
"passed","Sun Apr 30 12:23:12 GMT 2023","Sun Apr 30 12:23:13 GMT 2023","527","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","switchToRegisterTabTest","Switch to 'Register' tab","Register tab - validating switching tab when 'Register' tab is clicked"
"passed","Sun Apr 30 12:23:16 GMT 2023","Sun Apr 30 12:23:17 GMT 2023","490","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","clickCloseTermsAndConditionsButtonTest","Close 'Terms and conditions'","Close 'Terms and conditions'"
"passed","Sun Apr 30 12:23:09 GMT 2023","Sun Apr 30 12:23:09 GMT 2023","598","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","loginTabTest","'Login' tab check","Login tab - Verifies after switching to 'Register' tab, register window is displayed. 'Login' tab is active, and when a click is performed on it, the 'login' window will be displayed"
"passed","Sun Apr 30 12:23:18 GMT 2023","Sun Apr 30 12:23:19 GMT 2023","1005","","pages.LandingPageTest","","pages.LandingPageTest","clickAboutButtonTest","Click About button","The test verifies that on LandingPage the 'About' button is visible, and clicking on it navigates to the correct page."
"passed","Sun Apr 30 12:23:09 GMT 2023","Sun Apr 30 12:23:10 GMT 2023","535","","pages.RegistrationAndLoginPageTest","","pages.RegistrationAndLoginPageTest","emptyCredentialLoginTest","'Empty' credentials login","Empty credentials login - validating user login is not possible when no login data is provided"
"passed","Sun Apr 30 12:23:14 GMT 2023","Sun Apr 30 12:23:15 GMT 2023","414","","pages.TermsAndConditionsTest","","pages.TermsAndConditionsTest","verifyTermsAndConditionsTextTest","Verify text of 'Terms and conditions'","Comparing the text of 'Terms and conditions' to a text stored in a '.txt' file"
